full_name,short_name,short_name_2,type,year,rate
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_13,2016,0.54
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_13,2017,0.56
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_13,2018,0.6
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_13,2019,0.64
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_13,2020,0.69
Aditya Birla Sunlife Insurance Company Ltd.,ABSLI,Aditya Birla Sunlife,month_13,2021,0.72
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_13,2016,0.620733543
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_13,2017,0.65
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_13,2018,0.8
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_13,2019,0.83
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_13,2020,0.84
Aegon Life Insurance Company Ltd.,Aegon,Aegon Life,month_13,2021,0.87
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_13,2016,0.618946868
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_13,2017,0.624063533
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_13,2018,0.68138916
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_13,2019,0.745323938
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_13,2020,0.7025
Ageas Federal Life Insurance Company Ltd.,Ageas,Ageas Federal Life,month_13,2021,0.733442355
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_13,2016,0.624932406
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_13,2017,0.708661587
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_13,2018,0.745587651
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_13,2019,0.727
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_13,2020,0.691
Aviva Life Insurance Company India Ltd.,Aviva,Aviva Life,month_13,2021,0.643487966
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_13,2016,0.539502661
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_13,2017,0.5956
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_13,2018,0.644646544
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_13,2019,0.633784424
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_13,2020,0.6632
Bajaj Allianz Life Insurance Company Ltd.,BALIC,Bajaj Allianz Life,month_13,2021,0.70112986
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_13,2016,0.4973
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_13,2017,0.581891298
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_13,2018,0.574432895
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_13,2019,0.582135133
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_13,2020,0.5174
Bharti AXA Life Insurance Company Ltd.,Bharti,Bharti AXA Life,month_13,2021,0.38956418
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_13,2016,0.592507085
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_13,2017,0.689680126
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_13,2018,0.697815415
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_13,2019,0.735871346
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_13,2020,0.7293
Canara HSBC OBC Life Insurance Company Ltd.,CHOICE,Canara HSBC OBC Life,month_13,2021,0.763006544
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_13,2016,0.639163812
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_13,2017,0.691557095
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_13,2018,0.739971584
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_13,2019,0.752124444
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_13,2020,0.7554
Edelweiss Tokio Life Insurance Company Ltd.,Edelweiss,Edelweiss Tokio Life,month_13,2021,0.731767177
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_13,2016,0.588
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_13,2017,0.586790584
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_13,2018,0.58927662
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_13,2019,0.596208911
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_13,2020,0.5998
Exide Life Insurance Company Ltd.,Exide,Exide Life,month_13,2021,0.618106134
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_13,2016,0.352263044
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_13,2017,0.513095792
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_13,2018,0.578386751
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_13,2019,0.534862963
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_13,2020,0.5704
Future Generali India Life Insurance Company Ltd.,Future Generali,Future Generali India Life,month_13,2021,0.627793317
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_13,2016,0.713339838
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_13,2017,0.67
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_13,2018,0.69
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_13,2019,0.71
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_13,2020,0.728
HDFC Life Insurance Company Ltd.,HDFC,HDFC Life,month_13,2021,0.774
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_13,2016,0.787
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_13,2017,0.80576258
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_13,2018,0.807
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_13,2019,0.788269619
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_13,2020,0.819
ICICI Prudential Life Insurance Company Ltd.,ICICI Pru,ICICI Prudential Life,month_13,2021,0.808781708
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_13,2016,0.6053
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_13,2017,0.6556
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_13,2018,0.656099248
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_13,2019,0.6588
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_13,2020,0.6743
IndiaFirst Life Insurance Company Ltd.,IFLI,IndiaFirst Life,month_13,2021,0.711
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_13,2016,0.768212771
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_13,2017,0.79
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_13,2018,0.811139101
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_13,2019,0.8355
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_13,2020,0.8074
Kotak Mahindra Life Insurance Ltd.,Kotak,Kotak Life,month_13,2021,0.834155586
MaxLife  Insurance Company Ltd.,Max,Max Life,month_13,2016,0.74
MaxLife  Insurance Company Ltd.,Max,Max Life,month_13,2017,0.77
MaxLife  Insurance Company Ltd.,Max,Max Life,month_13,2018,0.77
MaxLife  Insurance Company Ltd.,Max,Max Life,month_13,2019,0.79
MaxLife  Insurance Company Ltd.,Max,Max Life,month_13,2020,0.82
MaxLife  Insurance Company Ltd.,Max,Max Life,month_13,2021,0.79
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_13,2016,0.633
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_13,2017,0.6931
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_13,2018,0.717
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_13,2019,0.773171088
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_13,2020,0.7422
PNB Metlife India Insurance Company Ltd.,PNB,PNB Metlife,month_13,2021,0.7588
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_13,2016,0.500837836
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_13,2017,0.647649879
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_13,2018,0.74328824
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_13,2019,0.772
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_13,2020,0.9079
Pramerica Life Insurance Company Ltd.,Pramerica,Pramerica Life,month_13,2021,0.940247132
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_13,2016,0.558
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_13,2017,0.603
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_13,2018,0.664728725
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_13,2019,0.725942777
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_13,2020,0.7076
Reliance Nippon  Life Insurance Company Ltd.,Reliance,Reliance Nippon Life,month_13,2021,0.728805193
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_13,2016,0.6925
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_13,2017,0.688082725
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_13,2018,0.698589663
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_13,2019,0.7091
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_13,2020,0.7119
SBI Life Insurance Company Ltd.,SBI,SBI Life,month_13,2021,0.792949014
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_13,2016,0.471936964
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_13,2017,0.444191697
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_13,2018,0.520224142
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_13,2019,0.572784016
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_13,2020,0.5407
Shriram Life Insurance Company Ltd.,Shriram,Shriram Life,month_13,2021,0.558773743
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2016,0.5289
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2017,0.604473926
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2018,0.6896
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2019,0.696280018
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2020,0.6592
Star Union Dai-ichi Life Insurance Company Ltd.,SUD,Star Union Dai-ichi Life,month_13,2021,0.694452628
